Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
12/7/2021,3367790,0.63,1453136,0.73,153749,0.49,131034,0.47,23262,0.8,883027,1,7367,0.47
12/6/2021,3135869,0.59,1394230,0.7,154970,0.49,127261,0.46,21761,0.75,865595,0.98,6687,0.43
12/5/2021,1737352,0.68,665129,0.68,72716,0.68,60526,0.56,12541,0.7,818544,1.03,193,0.06
12/4/2021,2318147,0.7,864764,0.68,91477,0.71,81392,0.52,13317,0.77,864918,0.98,56,0.01
12/3/2021,3374097,0.63,1419078,0.71,144500,0.46,119425,0.43,22518,0.77,940827,1.06,6442,0.41
12/2/2021,3358843,0.63,1449142,0.72,154723,0.49,127509,0.46,22540,0.77,923179,1.04,7290,0.47
12/1/2021,3326469,0.62,1463384,0.73,163163,0.52,136126,0.49,23347,0.8,899319,1.02,7266,0.47
11/30/2021,3207209,0.57,1432539,0.65,166738,0.51,136630,0.48,22469,0.72,897216,0.95,7124,0.42
11/29/2021,2996015,0.53,1381661,0.63,166154,0.51,132499,0.46,21124,0.68,900399,0.95,6692,0.39
11/28/2021,1465745,0.58,592081,0.59,75197,0.8,65128,0.63,10481,0.56,825585,1,1669,0.54
11/27/2021,1880422,0.6,750986,0.57,83676,0.73,76112,0.5,10620,0.63,850980,0.94,2216,0.64
11/26/2021,2089772,0.83,843588,0.85,128452,1.36,108747,1.04,11077,0.35,789915,0.96,3205,1.04
11/25/2021,1357198,0.54,509782,0.51,125417,1.33,69945,0.67,15459,0.5,861084,1.05,1990,0.65
11/24/2021,3085289,0.55,1343391,0.61,165349,0.5,139391,0.49,21002,0.67,992568,1.05,6589,0.39
11/23/2021,3286591,0.58,1424890,0.65,162241,0.49,136563,0.48,22574,0.72,989345,1.05,7194,0.42
11/22/2021,3130363,0.56,1418226,0.65,156874,0.48,127777,0.45,21441,0.69,901942,0.96,6896,0.41
11/21/2021,1674206,0.66,674551,0.68,80467,0.85,66860,0.64,12774,0.68,841901,1.02,1827,0.6
11/20/2021,2135731,0.68,861772,0.65,94412,0.82,82895,0.55,13195,0.78,915131,1.01,2367,0.68
11/19/2021,3316999,0.59,1429787,0.65,151795,0.46,127093,0.44,22662,0.73,987149,1.05,6842,0.4
11/18/2021,3412249,0.61,1505488,0.69,157433,0.48,132632,0.46,24071,0.77,959226,1.02,7511,0.44
11/17/2021,3369069,0.6,1501740,0.69,158372,0.48,131113,0.46,24396,0.78,915266,0.97,7453,0.44
11/16/2021,3340844,0.59,1492110,0.68,161362,0.49,137235,0.48,23694,0.76,902386,0.96,7472,0.44
11/15/2021,3110969,0.55,1437414,0.66,160952,0.49,132234,0.46,22208,0.71,890524,0.94,6792,0.4
11/14/2021,1703136,0.68,657129,0.66,72488,0.77,62856,0.6,12460,0.66,858311,1.04,1772,0.58
11/13/2021,2169863,0.69,815114,0.62,80829,0.7,74296,0.49,13124,0.77,869112,0.96,2286,0.66
11/12/2021,3158682,0.56,1350608,0.62,141671,0.43,117650,0.41,21598,0.69,919941,0.98,6082,0.36
11/11/2021,2922235,1.16,1198235,1.2,143386,1.52,122940,1.18,19846,0.64,895643,1.09,5493,1.79
11/10/2021,3351992,0.59,1514453,0.69,159254,0.48,134401,0.47,24608,0.79,926005,0.98,7445,0.44
11/9/2021,3279457,0.58,1518264,0.69,157181,0.48,134070,0.47,24504,0.78,898518,0.95,7677,0.45
11/8/2021,3065533,0.54,1461178,0.67,159723,0.49,131127,0.46,22136,0.71,889544,0.94,6921,0.41
11/7/2021,1888985,0.75,614513,0.62,81181,0.86,72175,0.69,10647,0.57,780686,0.95,2978,0.97
11/6/2021,2195864,0.69,864499,0.66,84943,0.74,80784,0.53,13672,0.81,910587,1,2410,0.7
11/5/2021,3293438,0.58,1457014,0.67,150227,0.46,121824,0.43,23009,0.74,966007,1.02,6769,0.4
11/4/2021,3284315,0.58,1486942,0.68,151353,0.46,126533,0.44,24009,0.77,931012,0.99,7210,0.42
11/3/2021,3293732,0.58,1507287,0.69,154203,0.47,130955,0.46,23349,0.75,901230,0.96,7371,0.43
11/2/2021,2848222,0.51,1258180,0.57,147832,0.45,129297,0.45,22016,0.71,853432,0.9,5679,0.33
11/1/2021,3034306,0.54,1448304,0.66,158356,0.48,131251,0.46,21387,0.69,898451,0.95,6783,0.4
10/31/2021,1746769,0.71,656203,0.66,68674,0.75,66301,0.63,12233,0.67,824978,0.98,1910,0.51
10/30/2021,2044310,0.61,819620,0.59,76471,0.67,69281,0.45,12642,0.72,854656,0.9,2177,0.48
10/29/2021,3251779,0.57,1426938,0.63,153317,0.49,122632,0.42,22477,0.75,963442,1.04,6597,0.37
10/28/2021,3365971,0.59,1515489,0.67,159574,0.51,132171,0.45,24814,0.83,959835,1.03,7605,0.43
10/27/2021,3300580,0.57,1503535,0.67,155865,0.5,129881,0.45,24144,0.81,914494,0.99,7054,0.4
10/26/2021,2702635,0.47,1233660,0.55,130109,0.41,104517,0.36,21220,0.71,738636,0.8,5278,0.3
10/25/2021,2994936,0.52,1461023,0.65,158330,0.5,125755,0.43,21724,0.73,883887,0.95,7026,0.39
