Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
12/08/2021,3378727,0.63,1430106,0.71,156218,0.49,130223,0.47,22691,0.78,889409,1,6948,0.45
12/09/2021,3433600,0.64,1436883,0.72,154367,0.49,126159,0.45,22743,0.78,927903,1.05,7222,0.46
12/10/2021,3417451,0.64,1404176,0.7,152524,0.48,127712,0.46,22237,0.76,962125,1.09,6331,0.41
12/11/2021,2266265,0.68,786137,0.62,91894,0.72,81068,0.52,13396,0.78,863814,0.98,2291,0.46
12/12/2021,1829872,0.72,627007,0.64,80874,0.76,66472,0.62,12189,0.68,828121,1.04,1833,0.54
12/13/2021,3120850,0.58,1333718,0.67,153387,0.49,129699,0.46,21617,0.74,874293,0.99,6769,0.43
12/14/2021,3274170,0.61,1378221,0.69,154939,0.49,131812,0.47,23042,0.79,894669,1.01,7124,0.46
12/15/2021,3242168,0.61,1436154,0.72,153128,0.48,129762,0.47,23732,0.81,921048,1.04,6908,0.44
12/16/2021,3219799,0.6,1438193,0.72,152710,0.48,126131,0.45,23623,0.81,948535,1.07,7043,0.45
12/17/2021,3112088,0.58,1375383,0.69,146111,0.46,121037,0.43,22539,0.77,968689,1.09,6404,0.41
12/18/2021,1880969,0.57,786073,0.62,74306,0.58,66097,0.42,12312,0.71,832994,0.94,1987,0.4
12/19/2021,1579809,0.62,636393,0.65,65698,0.62,56292,0.52,12238,0.69,784051,0.98,1694,0.5
12/20/2021,2716451,0.51,1277654,0.64,132078,0.42,102696,0.37,20318,0.7,856849,0.97,5979,0.38
12/21/2021,2697325,0.51,1299476,0.65,124376,0.39,97141,0.35,21656,0.74,866595,0.98,5772,0.37
12/22/2021,2634565,0.49,1252621,0.63,117678,0.37,92941,0.33,21673,0.74,878197,0.99,5594,0.36
12/23/2021,2486489,0.47,1166953,0.58,118388,0.37,97238,0.35,19335,0.66,899513,1.02,5000,0.32
12/24/2021,1575449,0.62,746809,0.76,97408,0.91,81055,0.75,12009,0.41,738612,0.93,2289,0.67
12/25/2021,810937,0.24,329549,0.26,39466,0.31,31575,0.2,9021,0.52,582582,0.66,1008,0.2
12/26/2021,1284738,0.51,518897,0.53,56467,0.53,51478,0.48,8744,0.49,673477,0.85,1746,0.51
12/27/2021,2007649,0.38,890096,0.44,108463,0.34,89427,0.32,14952,0.51,744547,0.84,4026,0.26
12/28/2021,2168419,0.41,953933,0.48,109904,0.35,89719,0.32,16736,0.57,764364,0.86,4372,0.28
12/29/2021,2167077,0.41,921562,0.46,105898,0.34,92606,0.33,16859,0.58,768653,0.87,3996,0.26
12/30/2021,2198415,0.41,928012,0.46,110101,0.35,90827,0.33,16177,0.55,804654,0.91,3944,0.25
12/31/2021,1627589,0.64,699749,0.71,96699,0.91,85232,0.79,11498,0.39,628305,0.79,2270,0.67
01/01/2022,1027918,0.38,350845,0.29,33980,0.35,30341,0.23,4904,0.34,498515,0.65,1262,0.31
01/02/2022,1219735,0.58,475096,0.52,49155,0.59,42587,0.47,8383,0.62,624655,0.92,1571,0.57
01/03/2022,2168229,0.42,1000002,0.49,102961,0.34,83990,0.31,16437,0.58,692740,0.8,4515,0.28
01/04/2022,2289352,0.45,1082360,0.53,104247,0.34,81978,0.3,17909,0.63,733369,0.84,4795,0.29
01/05/2022,2267942,0.44,1078511,0.53,98251,0.33,77579,0.29,18861,0.67,709060,0.82,4659,0.28
01/06/2022,2391176,0.46,1146904,0.56,103562,0.34,82567,0.31,18672,0.66,780026,0.9,4909,0.3
01/07/2022,2121941,0.41,880997,0.43,90207,0.3,73067,0.27,14203,0.5,559774,0.64,3628,0.22
01/08/2022,1486065,0.55,631341,0.53,51707,0.53,46428,0.36,9126,0.63,641533,0.84,1672,0.41
01/09/2022,1102472,0.53,475438,0.52,43383,0.52,35309,0.39,7916,0.59,567494,0.83,1210,0.44
01/10/2022,2347323,0.46,1147341,0.56,116463,0.39,90220,0.34,18268,0.65,762712,0.88,4954,0.3
01/11/2022,2266378,0.44,1040581,0.51,104378,0.35,81438,0.3,17388,0.61,753381,0.87,4655,0.28
01/12/2022,2459224,0.48,1179931,0.58,111022,0.37,86050,0.32,19679,0.7,784901,0.9,5024,0.31
01/13/2022,2524197,0.49,1218552,0.6,112519,0.37,87672,0.33,19918,0.7,821641,0.95,5132,0.31
01/14/2022,2522972,0.49,1186647,0.58,109199,0.36,88634,0.33,18878,0.67,866901,1,4774,0.29
01/15/2022,1434676,0.53,573037,0.48,53410,0.55,45309,0.35,9510,0.66,703293,0.92,1449,0.35
01/16/2022,1165626,0.56,456257,0.5,43578,0.53,38025,0.42,8545,0.63,621361,0.91,1140,0.42
01/17/2022,1600048,0.77,694066,0.76,98738,1.19,44075,0.49,8760,0.31,649397,0.95,2190,0.8
01/18/2022,2541044,0.49,1222195,0.6,125615,0.42,100364,0.37,19389,0.69,815605,0.94,5381,0.33
01/19/2022,2642129,0.51,1286788,0.63,121249,0.4,96281,0.36,21111,0.75,829778,0.95,5598,0.34
01/20/2022,2545486,0.49,1181953,0.58,112595,0.37,88196,0.33,18616,0.66,766608,0.88,5031,0.31
01/21/2022,2565781,0.5,1151816,0.56,113474,0.38,91079,0.34,19079,0.67,864079,0.99,4748,0.29
01/22/2022,1583650,0.58,655490,0.55,59412,0.61,53737,0.41,10455,0.72,735629,0.96,1642,0.4
01/23/2022,1245716,0.6,529115,0.58,48672,0.59,43647,0.48,9446,0.7,685007,1,1245,0.45
01/24/2022,2536827,0.49,1244112,0.61,127750,0.42,100520,0.37,19472,0.69,791390,0.91,5188,0.32
01/25/2022,2701246,0.53,1308979,0.64,124499,0.41,98859,0.37,21233,0.75,817021,0.94,5625,0.34
01/26/2022,2711803,0.53,1266798,0.62,118625,0.39,96253,0.36,21033,0.74,833936,0.96,5197,0.32
01/27/2022,2724979,0.53,1275573,0.62,119039,0.39,95748,0.36,20934,0.74,869615,1,5271,0.32
01/28/2022,2703403,0.53,1208092,0.59,120912,0.4,96409,0.36,20115,0.71,866261,1,4994,0.3
01/29/2022,999347,0.37,271959,0.23,8142,0.08,22016,0.17,5353,0.37,174348,0.23,852,0.21
01/30/2022,1262477,0.6,460299,0.5,47852,0.58,45002,0.5,5974,0.44,506466,0.74,1233,0.45
01/31/2022,2575762,0.5,1139164,0.56,132248,0.44,109718,0.41,18400,0.65,777628,0.89,4968,0.3
02/01/2022,2635083,0.49,1127084,0.52,135255,0.45,111424,0.41,20357,0.69,804390,0.91,4993,0.31
02/02/2022,2940152,0.54,1314898,0.61,140059,0.46,110996,0.41,22427,0.76,846701,0.96,5830,0.36
02/03/2022,2914198,0.54,1304726,0.61,126901,0.42,104093,0.39,22325,0.76,853193,0.97,5750,0.36
02/04/2022,2725725,0.5,1176367,0.55,117899,0.39,94290,0.35,18557,0.63,781068,0.88,5072,0.31
02/05/2022,1792780,0.63,726750,0.57,61201,0.65,61496,0.47,11377,0.7,775134,0.93,1835,0.43
02/06/2022,1323892,0.6,558211,0.57,51472,0.66,48395,0.53,10621,0.63,744779,0.99,1388,0.49
02/07/2022,2784230,0.51,1297024,0.6,136455,0.45,111297,0.41,21120,0.72,809094,0.92,5711,0.35
02/08/2022,3016648,0.56,1387432,0.64,141653,0.47,119190,0.44,22667,0.77,851665,0.96,6254,0.39
02/09/2022,3088775,0.57,1421706,0.66,143673,0.47,115341,0.43,23863,0.81,868057,0.98,6297,0.39
02/10/2022,3112489,0.57,1423775,0.66,143062,0.47,115707,0.43,23341,0.79,905812,1.03,6362,0.39
02/11/2022,3015472,0.56,1348189,0.63,131038,0.43,110674,0.41,22608,0.77,939270,1.06,5570,0.34
02/12/2022,2026308,0.71,820629,0.65,71709,0.77,71813,0.55,13376,0.82,867255,1.04,2295,0.54
02/13/2022,1349864,0.62,510307,0.52,50534,0.65,46395,0.51,10013,0.59,655107,0.87,1322,0.47
02/14/2022,2907825,0.54,1272100,0.59,142507,0.47,113260,0.42,20812,0.71,862473,0.98,5803,0.36
02/15/2022,3030742,0.56,1340123,0.62,146607,0.48,119034,0.44,21922,0.74,873240,0.99,6447,0.4
02/16/2022,3100639,0.57,1406714,0.65,140431,0.46,115325,0.43,23513,0.8,875377,0.99,6337,0.39
02/17/2022,3109956,0.57,1408571,0.65,141226,0.47,115718,0.43,23713,0.81,911310,1.03,6527,0.4
02/18/2022,2953785,0.54,1285978,0.6,129403,0.43,112030,0.42,21470,0.73,947650,1.07,5677,0.35
02/19/2022,1792136,0.62,723602,0.57,64696,0.69,66545,0.51,12171,0.75,813140,0.98,2108,0.49
02/20/2022,1477125,0.67,571789,0.59,55015,0.7,54863,0.6,11017,0.65,768971,1.02,1517,0.54
02/21/2022,1942267,0.89,873961,0.89,109882,1.41,63892,0.7,12500,0.42,816227,1.08,2781,0.99
02/22/2022,2669508,0.49,1143526,0.53,135406,0.45,112764,0.42,19233,0.65,846877,0.96,5767,0.36
02/23/2022,2894245,0.53,1247209,0.58,140229,0.46,119188,0.44,23807,0.81,892767,1.01,6116,0.38
02/24/2022,2858146,0.53,1196924,0.56,132496,0.44,110395,0.41,21868,0.74,911720,1.03,5879,0.36
02/25/2022,2575630,0.47,1027563,0.48,114658,0.38,90953,0.34,18740,0.64,794852,0.9,4544,0.28
02/26/2022,1824833,0.64,775358,0.61,71783,0.77,61573,0.47,12226,0.75,847294,1.02,2012,0.47
02/27/2022,1403227,0.64,604646,0.62,62913,0.81,51604,0.57,11337,0.67,802377,1.06,1523,0.54
02/28/2022,2915786,0.54,1362855,0.63,134902,0.45,118572,0.44,21929,0.75,859177,0.97,6170,0.38
03/01/2022,3138181,0.56,1435834,0.64,165769,0.53,150787,0.55,22944,0.77,873348,0.95,6655,0.42
03/02/2022,3208166,0.58,1463263,0.65,159238,0.51,140945,0.51,24289,0.82,896503,0.97,6680,0.42
03/03/2022,3207495,0.58,1434851,0.64,152883,0.49,132506,0.48,23800,0.8,923154,1,6674,0.42
03/04/2022,3077537,0.55,1363159,0.61,145518,0.46,125143,0.45,22821,0.77,957694,1.04,5807,0.36
03/05/2022,1955535,0.64,812774,0.61,69010,0.64,70427,0.52,13269,0.78,865292,0.99,2116,0.42
03/06/2022,1444501,0.63,600501,0.6,53034,0.61,52874,0.56,12557,0.71,787598,0.98,1550,0.49
03/07/2022,2980920,0.54,1395540,0.62,153907,0.49,129784,0.47,22465,0.76,861409,0.93,6161,0.39
03/08/2022,3244473,0.58,1456451,0.65,158652,0.51,138811,0.5,24076,0.81,894132,0.97,6923,0.43
03/09/2022,3113559,0.56,1338822,0.6,153393,0.49,129056,0.47,23477,0.79,832720,0.9,6200,0.39
03/10/2022,3339363,0.6,1476288,0.66,163931,0.52,140107,0.51,24515,0.82,945191,1.03,6914,0.43
03/11/2022,3195956,0.57,1419371,0.63,158985,0.51,135371,0.49,23736,0.8,986555,1.07,6150,0.39
03/12/2022,1663893,0.54,637601,0.48,51679,0.48,59927,0.44,10655,0.63,669502,0.77,1748,0.35
03/13/2022,1479406,0.65,590753,0.59,59964,0.69,57548,0.61,11491,0.65,792377,0.98,1524,0.48
03/14/2022,3008800,0.54,1406578,0.63,159962,0.51,134093,0.49,22480,0.76,879699,0.95,6416,0.4
03/15/2022,3275906,0.59,1454522,0.65,171406,0.55,146786,0.53,24272,0.82,906028,0.98,7287,0.46
03/16/2022,3332335,0.6,1476356,0.66,168768,0.54,145085,0.53,25305,0.85,914284,0.99,7009,0.44
03/17/2022,3175784,0.57,1350810,0.6,166884,0.53,135727,0.49,22946,0.77,888875,0.96,6768,0.42
03/18/2022,3275433,0.59,1402806,0.63,163169,0.52,137528,0.5,24019,0.81,978491,1.06,6288,0.39
03/19/2022,2001839,0.65,820933,0.62,74087,0.69,73974,0.54,12877,0.76,872810,1,2050,0.4
03/20/2022,1656673,0.72,628693,0.63,67551,0.78,63818,0.68,12736,0.72,879711,1.09,1722,0.55
03/21/2022,3034759,0.55,1418900,0.63,165487,0.53,134182,0.49,22229,0.75,880846,0.96,6367,0.4
03/22/2022,3276940,0.59,1471299,0.66,168328,0.54,144765,0.53,23948,0.81,891089,0.97,7082,0.44
03/23/2022,3275708,0.59,1438665,0.64,161202,0.51,138873,0.5,24574,0.83,891509,0.97,6540,0.41
03/24/2022,3212181,0.58,1373850,0.61,162392,0.52,134129,0.49,22998,0.77,900384,0.98,6513,0.41
03/25/2022,3218970,0.58,1397899,0.62,158528,0.51,133368,0.48,23274,0.78,967743,1.05,6075,0.38
03/26/2022,2024596,0.66,783499,0.59,71809,0.67,73933,0.54,13208,0.78,875353,1.01,2154,0.43
03/27/2022,1534056,0.67,628313,0.63,64950,0.75,58044,0.62,11809,0.67,830360,1.03,1602,0.51
03/28/2022,2989874,0.54,1336330,0.6,153222,0.49,130886,0.47,22114,0.74,868259,0.94,6096,0.38
03/29/2022,3291883,0.59,1430099,0.64,163218,0.52,143870,0.52,23981,0.81,886086,0.96,6900,0.43
03/30/2022,3336073,0.6,1465351,0.65,164882,0.53,143216,0.52,24620,0.83,913063,0.99,6920,0.43
03/31/2022,3323135,0.6,1450363,0.65,164074,0.52,139602,0.51,24308,0.82,941530,1.02,6890,0.43
04/01/2022,3237107,0.58,1411421,0.65,145251,0.47,120557,0.42,24017,0.83,972802,1.03,5972,0.37
04/02/2022,2128435,0.67,879513,0.66,77205,0.68,80471,0.54,14382,0.86,893814,0.98,2484,0.49
04/03/2022,1463932,0.6,607152,0.61,58819,0.64,53761,0.52,12947,0.69,790600,0.91,1419,0.43
04/04/2022,3127667,0.56,1447820,0.66,159541,0.51,135920,0.47,23746,0.82,899510,0.96,6676,0.41
04/05/2022,3356454,0.6,1484961,0.68,170140,0.55,150671,0.53,24873,0.86,904813,0.96,7089,0.44
04/06/2022,3311547,0.59,1403198,0.64,163830,0.53,142810,0.5,25103,0.87,890470,0.95,6569,0.4
